,Alarmed,AlarmedFrom,Self-Excitation,TimeForAlarm,TimeDelay
1,17,17,1,0,1
2,18,17,0,0,1
3,19,19,1,0,1
4,23,25,0,0,1
5,24,19,0,0,1
6,25,25,1,0,1
7,27,25,0,0,1
8,52,19,0,0,1
9,54,19,0,0,1
10,2,27,0,1,1
11,7,19,0,1,1
12,20,20,1,1,1
13,51,51,1,1,1
14,30,23,0,1,3
15,50,53,0,1,3
16,15,19,0,1,4
17,18,19,0,1,0
18,52,19,0,1,0
19,53,17,0,1,0
20,33,23,0,2,1
21,36,36,1,2,1
22,29,25,0,2,2
23,50,19,0,2,2
24,12,13,0,2,3
25,15,13,0,2,3
26,2,54,0,2,0
27,7,19,0,2,0
28,10,19,0,2,0
29,13,52,0,2,0
30,29,25,0,3,1
31,30,19,0,3,1
32,50,13,0,3,1
33,12,13,0,3,2
34,15,18,0,3,2
35,34,33,0,3,2
36,21,7,0,3,4
37,33,36,0,3,0
38,42,19,0,3,0
39,15,53,0,4,1
40,34,25,0,4,1
41,21,7,0,4,3
42,40,7,0,4,3
43,29,54,0,4,0
44,50,27,0,4,0
45,37,7,0,5,4
46,12,53,0,5,0
47,15,10,0,5,0
48,38,33,0,7,1
49,5,21,0,7,2
50,37,54,0,7,2
51,39,33,0,7,3
52,5,18,0,8,1
53,37,7,0,8,1
54,6,18,0,8,4
55,39,34,0,9,1
56,49,29,0,9,1
57,6,27,0,9,3
58,5,13,0,9,0
59,6,12,0,10,2
60,39,29,0,10,0
61,49,23,0,10,0
62,31,54,0,16,1
63,4,4,1,16,1
64,32,51,0,17,4
65,31,54,0,17,0
66,28,28,1,18,1
67,24,38,0,18,3
68,32,6,0,18,3
69,24,50,0,19,2
70,32,40,0,19,2
71,45,27,0,19,4
72,32,4,0,20,1
73,60,4,0,20,2
74,45,27,0,20,3
75,26,27,0,20,4
76,23,27,0,20,0
77,60,4,0,21,1
78,45,27,0,21,2
79,3,40,0,21,4
80,24,27,0,21,0
81,32,19,0,21,0
82,45,27,0,22,1
83,26,27,0,22,2
84,3,40,0,22,3
85,60,19,0,22,0
86,26,45,0,23,1
87,3,33,0,23,2
88,44,29,0,23,3
89,45,27,0,23,0
90,44,45,0,24,2
91,26,51,0,24,0
92,44,45,0,25,1
93,3,36,0,25,0
94,44,19,0,26,0
95,21,31,0,29,2
96,39,28,0,29,2
97,43,43,1,32,1
98,9,19,0,32,3
99,13,19,0,32,4
100,38,60,0,35,3
101,59,40,0,37,1
102,16,16,1,37,1
103,44,28,0,37,4
104,37,31,0,38,0
105,59,3,0,38,0
106,20,21,0,45,3
107,46,54,0,45,4
108,20,21,0,46,2
109,46,54,0,46,3
110,59,51,0,63,2
111,2,25,0,63,3
112,35,35,1,71,1
113,8,19,0,71,3
