"frame","Alarmed","AlarmedFrom","Self-Excitation","Time"
"1",18,17,0,1
"2",20,20,1,1
"3",23,25,0,1
"4",24,19,0,1
"5",27,25,0,1
"6",51,51,1,1
"7",52,19,0,1
"8",53,17,0,1
"9",54,19,0,1
"10",2,27,0,2
"11",7,19,0,2
"12",10,19,0,2
"13",13,52,0,2
"14",36,36,1,2
"15",33,23,0,3
"16",42,19,0,3
"17",29,25,0,4
"18",30,23,0,4
"19",50,53,0,4
"20",51,20,0,4
"21",12,13,0,5
"22",15,13,0,5
"23",34,33,0,5
"24",21,7,0,7
"25",40,7,0,7
"26",38,33,0,8
"27",5,21,0,9
"28",37,54,0,9
"29",36,34,0,10
"30",39,33,0,10
"31",49,29,0,10
"32",6,27,0,12
"33",4,4,1,16
"34",31,54,0,17
"35",28,28,1,18
"36",32,6,0,21
"37",60,4,0,22
"38",45,27,0,23
"39",26,27,0,24
"40",3,40,0,25
"41",28,12,0,26
"42",44,29,0,26
"43",43,43,1,32
"44",9,19,0,35
"45",16,16,1,37
"46",59,40,0,38
"47",46,54,0,49
"48",35,35,1,71
"49",8,19,0,74
"50",48,17,0,104
